train_id,y_true_log,y_pred_log,y_true_price,y_pred_price
450414,2.1972245773362196,2.8689048,8.0,16.617714
406368,3.2188758248682006,2.9298832,24.0,17.725445
136022,2.1972245773362196,2.3277094,8.0,9.254426
596088,3.2188758248682006,3.3651109,24.0,27.936705
1161685,1.791759469228055,2.4590108,5.0,10.693239
726217,2.5649493574615367,2.3858588,12.0,9.868392
700762,3.044522437723423,3.0456102,20.0,20.022856
565641,2.772588722239781,2.8343673,15.0,16.019629
606113,1.6094379124341003,2.6987858,4.0,13.861675
888245,2.3978952727983707,3.2648082,10.0,25.175089
758037,3.367295829986474,2.738556,28.0,14.464637
666900,2.0794415416798357,2.799278,7.0,15.432778
192660,3.1354942159291497,2.7993817,22.0,15.434483
438741,2.302585092994046,2.8326554,9.0,15.990519
1301625,2.70805020110221,2.7795515,14.0,15.1117935
1289031,2.302585092994046,2.981697,9.0,18.721256
935268,2.772588722239781,2.9725137,15.0,18.540977
40069,2.772588722239781,2.9634209,15.0,18.364101
1212736,2.6390573296152584,2.925081,13.0,17.635736
1259504,2.302585092994046,2.8230793,9.0,15.828592
204439,2.0794415416798357,2.90967,7.0,17.350744
21307,2.772588722239781,2.817759,15.0,15.739297
1263238,4.174387269895637,2.866141,64.0,16.56909
486547,1.3862943611198906,2.7989,3.0,15.426566
1146136,2.4849066497880004,2.9751673,11.0,18.592901
689892,2.772588722239781,2.975674,15.0,18.602829
239943,2.4849066497880004,2.8801064,11.0,16.81617
24198,2.5649493574615367,3.086596,12.0,20.902395
1331827,1.3862943611198906,2.8622565,3.0,16.500975
31431,4.0943445622221,3.3350358,59.0,27.079388
33267,2.4849066497880004,2.7025585,11.0,13.9178505
612420,2.3978952727983707,2.618565,10.0,12.716028
687556,2.0794415416798357,2.3065896,7.0,9.040126
1432926,2.0794415416798357,2.2202306,7.0,8.209455
446439,2.302585092994046,2.8326902,9.0,15.99111
318478,2.6390573296152584,2.7425544,13.0,14.526596
1345605,3.713572066704308,3.0035844,40.0,19.15766
696645,2.70805020110221,2.9146023,14.0,17.441477
226113,2.5649493574615367,2.9818366,12.0,18.724009
