train_id,y_true_log,y_pred_log,y_true_price,y_pred_price
450414,2.1972245773362196,2.6728282,8.0,13.480866
406368,3.2188758248682006,3.2212975,24.0,24.060616
136022,2.1972245773362196,2.5594926,8.0,11.9292555
596088,3.2188758248682006,3.9295897,24.0,49.886097
1161685,1.791759469228055,2.4922867,5.0,11.088888
726217,2.5649493574615367,2.41768,12.0,10.219799
700762,3.044522437723423,2.9324672,20.0,17.773893
565641,2.772588722239781,2.7819285,15.0,15.150137
606113,1.6094379124341003,2.9484076,4.0,18.075554
888245,2.3978952727983707,3.158308,10.0,22.530748
758037,3.367295829986474,2.9270084,28.0,17.671688
666900,2.0794415416798357,3.0926857,7.0,21.03618
192660,3.1354942159291497,3.165115,22.0,22.691471
438741,2.302585092994046,2.817935,9.0,15.742242
1301625,2.70805020110221,3.0817168,14.0,20.79579
1289031,2.302585092994046,2.8307924,9.0,15.958894
935268,2.772588722239781,2.8610861,15.0,16.480503
40069,2.772588722239781,3.1285968,15.0,21.841906
1212736,2.6390573296152584,3.174945,13.0,22.925507
1259504,2.302585092994046,2.6844459,9.0,13.650081
204439,2.0794415416798357,2.750496,7.0,14.650392
21307,2.772588722239781,2.9925764,15.0,18.936981
1263238,4.174387269895637,2.7559454,64.0,14.735911
486547,1.3862943611198906,2.958013,3.0,18.259666
1146136,2.4849066497880004,2.8576996,11.0,16.421406
689892,2.772588722239781,2.9560301,15.0,18.221514
239943,2.4849066497880004,2.7299266,11.0,14.331761
24198,2.5649493574615367,3.28358,12.0,25.671085
1331827,1.3862943611198906,2.9464295,3.0,18.037857
31431,4.0943445622221,3.378338,59.0,28.322
33267,2.4849066497880004,2.8435884,11.0,16.177294
612420,2.3978952727983707,2.7488894,10.0,14.62527
687556,2.0794415416798357,2.1207309,7.0,7.337229
1432926,2.0794415416798357,2.8710186,7.0,16.654993
446439,2.302585092994046,2.6367595,9.0,12.967868
318478,2.6390573296152584,3.0313988,13.0,19.726204
1345605,3.713572066704308,3.029716,40.0,19.691357
696645,2.70805020110221,2.9516876,14.0,18.138224
226113,2.5649493574615367,2.9467268,12.0,18.043518
618872,2.3978952727983707,2.8000906,10.0,15.4461355
213471,4.127134385045092,4.0983257,61.0,59.239346
339251,2.1972245773362196,1.9741849,8.0,6.2007475
556991,2.1972245773362196,3.052693,8.0,20.172283
256083,3.367295829986474,2.909772,28.0,17.352612
13850,4.007333185232471,3.2922893,54.0,25.904385
1267837,2.5649493574615367,3.1046286,12.0,21.300934
1478203,1.3862943611198906,1.890708,3.0,5.624057
824661,4.465908118654584,2.8002293,86.0,15.448419
1015391,4.465908118654584,3.7676718,86.0,42.279186
96931,3.044522437723423,3.1214135,20.0,21.678411
130414,2.3978952727983707,2.7647781,10.0,14.875518
39892,4.23410650459726,3.6369708,68.0,36.976624
1184433,4.189654742026425,3.9629405,65.0,51.6118
719537,3.8501476017100584,3.5737798,46.0,34.651093
1392054,3.871201010907891,3.1860425,47.0,23.192497
1305496,2.5649493574615367,2.80291,12.0,15.492572
33377,2.4849066497880004,2.8812137,11.0,16.835907
471528,3.044522437723423,3.0271292,20.0,19.6379
1390546,3.1354942159291497,2.9218707,22.0,17.576006
561624,4.127134385045092,2.918623,61.0,17.515774
1435811,2.5649493574615367,2.804545,12.0,15.519557
967473,2.3978952727983707,3.0730274,10.0,20.607218
85931,2.3978952727983707,2.4874928,10.0,11.031074
330625,2.772588722239781,2.959703,15.0,18.29224
597746,3.828641396489095,3.1858943,45.0,23.18891
381209,3.4339872044851463,2.9220634,30.0,17.579584
786738,3.295836866004329,3.0520582,26.0,20.15885
1269057,4.02535169073515,3.5375278,55.0,33.381817
568649,2.302585092994046,2.6362877,9.0,12.961279
237657,4.51085950651685,3.667082,90.0,38.13754
1146932,2.70805020110221,2.824599,14.0,15.854185
387616,2.4849066497880004,2.7858922,11.0,15.214278
132226,1.9459101490553132,2.0119984,6.0,6.478247
999302,2.1972245773362196,2.3998556,8.0,10.0215845
81978,2.833213344056216,2.6486015,16.0,13.134258
1337214,2.833213344056216,2.8649533,16.0,16.548233
1044563,2.3978952727983707,2.5202596,10.0,11.431824
418818,2.6390573296152584,2.6473308,13.0,13.116308
60207,3.1354942159291497,3.2014513,22.0,23.568161
420585,3.044522437723423,2.8712797,20.0,16.659603
9919,2.833213344056216,2.9150665,16.0,17.450039
1365980,4.442651256490317,3.8123016,84.0,44.25448
1269923,2.833213344056216,2.946813,16.0,18.045162
1154977,3.332204510175204,3.2924283,27.0,25.908125
1329002,4.07753744390572,3.3898122,58.0,28.660383
1110242,2.1972245773362196,2.407069,8.0,10.101375
57082,3.1780538303479458,3.2151072,23.0,23.905962
1150927,4.61512051684126,3.4007137,100.0,28.985493
753809,1.9459101490553132,2.7080176,6.0,13.999511
251018,3.258096538021482,3.3052065,25.0,26.25417
306925,2.9444389791664403,3.3276584,18.0,26.873
1318890,2.3978952727983707,2.298918,10.0,8.963396
805570,1.3862943611198906,1.5820733,3.0,3.8650322
28928,4.04305126783455,4.3097405,56.0,73.42118
480685,2.8903717578961645,2.9218707,17.0,17.576006
390981,3.6109179126442243,3.3304245,36.0,26.950205
973800,3.6635616461296463,3.520221,38.0,32.791897
467920,3.8501476017100584,3.3873284,46.0,28.586802
788338,2.9444389791664403,3.376321,18.0,28.262917
537031,2.1972245773362196,3.0107667,8.0,19.302961
1424929,4.110873864173311,3.1076665,60.0,21.368786
1180351,2.9444389791664403,3.5384445,18.0,33.41335
358045,2.6390573296152584,3.0818634,13.0,20.798985
581048,2.833213344056216,3.0563643,16.0,20.250156
107798,2.833213344056216,2.7783067,16.0,15.09175
702700,1.791759469228055,2.1048727,5.0,7.2060585
424909,3.5263605246161616,3.108096,33.0,21.378393
1380786,4.990432586778736,3.7769234,146.0,42.681446
1164490,1.9459101490553132,2.6259859,6.0,12.818191
1290472,3.58351893845611,3.2559526,35.0,24.944317
1172939,2.0794415416798357,2.8467562,7.0,16.231794
367746,2.302585092994046,2.321122,9.0,9.187098
1161933,4.007333185232471,3.4456134,54.0,30.362514
1040174,2.772588722239781,2.7500782,15.0,14.643855
524012,3.332204510175204,3.3532784,27.0,27.59633
1474453,3.4965075614664802,3.2089167,32.0,23.752256
409278,2.6390573296152584,2.8031373,13.0,15.49632
1338509,2.3978952727983707,3.0633578,10.0,20.399292
63872,2.0794415416798357,2.8341942,7.0,16.016682
330427,3.6109179126442243,2.9352164,36.0,17.825577
1112525,2.1972245773362196,2.6173377,8.0,12.6992035
56536,2.1972245773362196,2.5524733,8.0,11.838819
175066,3.8066624897703196,3.3014653,44.0,26.152395
865276,2.3978952727983707,2.504021,10.0,11.231578
453817,3.912023005428146,3.121974,49.0,21.691128
999370,1.9459101490553132,2.4968383,6.0,11.144038
1220443,2.0794415416798357,3.12728,7.0,21.811848
346691,2.995732273553991,2.846122,19.0,16.220871
55726,2.8903717578961645,2.9575908,17.0,18.251535
1400135,3.044522437723423,3.5422282,20.0,33.543804
718601,2.5649493574615367,2.6855898,12.0,13.666849
1032956,2.70805020110221,2.9206023,14.0,17.552458
1361158,2.1972245773362196,2.4397717,8.0,10.470421
826677,3.295836866004329,3.3206522,26.0,26.678398
455170,1.3862943611198906,1.5455489,3.0,3.6905456
1001302,3.4965075614664802,3.936238,32.0,50.22553
1273986,2.4849066497880004,2.8767233,11.0,16.755997
597757,1.3862943611198906,2.021753,3.0,6.551552
1152447,2.5649493574615367,2.8431308,12.0,16.169436
365296,3.828641396489095,3.2977927,45.0,26.052858
367540,2.772588722239781,2.8026614,15.0,15.488471
277076,3.295836866004329,3.3975775,26.0,28.8916
234819,2.8903717578961645,2.8177176,17.0,15.738602
748173,3.5553480614894135,2.922865,34.0,17.594482
703312,2.995732273553991,3.101883,19.0,21.239788
725611,2.70805020110221,3.0466528,14.0,20.044785
587988,2.70805020110221,3.2360685,14.0,24.433533
1126691,1.791759469228055,3.1990516,5.0,23.509275
1286885,2.0794415416798357,2.207023,7.0,8.088618
702868,2.0794415416798357,2.660387,7.0,13.301824
223794,1.9459101490553132,2.6692512,6.0,13.429161
677299,2.772588722239781,3.1159568,15.0,21.555
277849,2.6390573296152584,2.6142118,13.0,12.656448
171711,1.3862943611198906,1.8448603,3.0,5.327216
557378,4.204692619390966,3.2339313,66.0,24.379234
442525,2.3978952727983707,2.3914287,10.0,9.929097
642428,2.3978952727983707,2.9242764,10.0,17.620747
519742,2.3978952727983707,2.427826,10.0,10.334214
586419,2.1972245773362196,2.761781,8.0,14.828007
1110868,1.791759469228055,2.8201342,5.0,15.779101
100467,1.791759469228055,2.245454,5.0,8.444703
1211254,2.4849066497880004,3.216942,11.0,23.951702
387452,4.762173934797756,3.971586,116.0,52.06863
141221,6.86171134048073,4.3910723,954.0,79.72694
785073,4.02535169073515,2.8705952,55.0,16.64752
1368325,3.1354942159291497,2.9356606,22.0,17.83394
182790,3.4011973816621555,3.3039124,29.0,26.218922
1431038,2.8903717578961645,3.6623507,17.0,37.9528
1284298,2.833213344056216,2.9854524,16.0,18.795456
753431,3.9318256327243257,3.484659,50.0,31.611303
759500,3.044522437723423,2.8905802,20.0,17.003752
1003338,2.6390573296152584,3.3829026,13.0,28.456148
1065699,3.871201010907891,3.100999,47.0,21.22014
482131,2.1972245773362196,2.5913339,8.0,12.347564
770063,3.4339872044851463,2.9593081,30.0,18.284624
500731,2.70805020110221,3.0598664,14.0,20.324709
343001,5.2832037287379885,4.5759478,196.0,96.12004
935798,4.204692619390966,3.399898,66.0,28.961046
1024313,2.1972245773362196,2.6018803,8.0,12.489078
150392,1.9459101490553132,3.2940834,6.0,25.952696
1436386,1.9459101490553132,2.1231568,6.0,7.3574786
1157256,2.302585092994046,2.3728237,9.0,9.727641
1189309,2.0794415416798357,2.7606645,7.0,14.810345
239935,3.091042453358316,3.2093105,21.0,23.762009
130262,3.6109179126442243,3.0841393,36.0,20.848654
858099,2.5649493574615367,3.4089189,12.0,29.23254
75160,2.302585092994046,2.7496953,9.0,14.637866
447217,2.3978952727983707,3.1167612,10.0,21.57315
625794,2.8903717578961645,3.3942509,17.0,28.792326
314584,2.0794415416798357,2.7074866,7.0,13.991549
42496,4.204692619390966,3.4892654,66.0,31.761873
1067853,2.6390573296152584,2.7429686,13.0,14.533028
